artist,song,lyrics
SZA,Snooze,"I'll touch that fire for you I do that three-four times again, I testify for you I told that lie, I'd kill that bitch I do what all of them around you scared to do, I'm not Long as you juggin' out here for me, I got it Mobbing, scheming, looting, hide your bodies Long as you dreaming 'bout me, ain't no problem I don't got nobody, just with you right now Tell the truth, I look better under you  I can't lose when I'm with you How can I snooze and miss the moment? You just too important Nobody do body like you do  I can't lose when I'm with you I can't just snooze and miss the moment You just too important Nobody do body like you do, you do  In the droptop ride with you, I feel like Scarface (Scarface) Like the white bitch with the bob, I'll be your main one (main one) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Zach Bryan,Something in the Orange,"It'll be fine by dusk that I'm telling you, baby These things eat at your bones and drive your young mind crazy But when you place your head between my collar and jaw I don't know much, but there's no weight at all  And I'm damned if I do, and I'm damned if I don't 'Cause if I say I miss you, I know that you won't But I miss you in the mornings when I see the sun Something in the orange tells me we're not done  To you, I'm just a man To me, you're all I am Where the hell am I supposed to go? ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Low,"Tell 'em to shoot I'm out the loop, I'm outta range Oh-yeah, I stay out the way-ay-ay!  Got another side of me, I like to get it poppin' But these bitches in my business got me outchea choosin' violence If you see me out in public, you don't know me, keep it silent In the bedroom, I be screamin', but outside, I keep it quiet  Keep it on the lowski, I'm the lowest of the lowest Wanna see if you can keep it like nobody knows shit  I need you to get the fuck out of my space (yeah) Replacement's on the way, please don't play That pussy's feelin' like a great escape (oh, oh) Don't need no trick, old dogs don't change  I'm fuckin', I ain't makin' love no more (pussy) You got a new bitch, what the fuck you cryin' for? I'm movin' selfish, callin' all my favorite hoes  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
d4vd,Here With Me,"Watch the sunrise along the coast As we're both getting old I can't describe what I'm feeling And all I know is we're going home So please don't let me go, oh Don't let me go, oh-oh-oh  And if it's right I don't care how long it takes As long as I'm with you ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Rihanna, JAY-Z",Umbrella,"Uh-huh, uh-huh (Yeah, Rihanna) Uh-huh, uh-huh (Good girl, gone bad) Uh-huh, uh-huh (Take three, action) Uh-huh, uh-huh (Hov)  No clouds in my stones Let it rain, I hydroplane in the bank Comin' down like the Dow Jones When the clouds come, we gone  We Roc-A-Fellas We fly higher than weather In G5's or better  You know me (You know me) In anticipation for precipitation Stack chips for the rainy day Jay, Rain Man is back, with Little Miss Sunshine Rihanna, where you at?  You have my heart And we'll never be worlds apart Maybe in magazines But you'll still be my star  Baby, 'cause in the dark You can't see shiny cars And that's when you need me there With you, I'll always share  Because  When the sun shine, we shine together Told you I'll be here forever Said I'll always be your friend Took an oath, I'ma stick it out to the end  Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
J. Cole,No Role Modelz,"First things first: Rest In Peace Uncle Phil, for real You the only father that I ever knew I get my bitch pregnant, I'mma be a better you Prophecies that I made way back in the Ville, fulfilled Listen even back when we was broke my team ill Martin Luther King would have been on Dreamville Talk to a nigga...  One time for my LA sisters One time for my LA hoes Lame niggas can't tell the difference One time for a nigga who know  Don't save her She don't wanna be saved Don't save her She don't wanna be saved Don't save her She don't wanna be saved Don't save her She don't wanna be saved  No role models and I'm here right now No role models to speak of Searchin' through my memory My memory, I couldn't find one Last night I was gettin' my feet rubbed By the baddest bitch; not Trina, but I swear to God This bitch'll make you call your girl up and tell her ""Hey, what's good?"" ""Sorry I'm never comin' home, I'mma stay for good"" Then hang the phone up, and proceed to lay the wood I came fast like 9-1-1 in white neighborhoods Ain't got no shame bout it She think I'm spoiled and I'm rich cause I can have any bitch I got defensive and said ""Nah, I was the same without it"" But then I thought back, back to a better me Before I was a B-list celebrity Before I started callin' bitches ""bitches"" so heavily Back when you could get a platinum plaque without no melody You wasn't sweatin' me  One time for my LA sisters ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Coi Leray,Players,"Yeah, 'cause girls is players too, uh Yeah, yeah, 'cause girls is players too (keep it player, baby) 'Cause girls is players too Bitches gettin' money all around the world 'Cause girls is players too  What you know 'bout livin' on the top? Penthouse suites, lookin' down on the opps? Took him for a test drive, left him on the lot Time is money, so I spent it on a watch, hol' on Lil' titties showin' through the white tee You can see the thong bussin' out my tight jeans (okay) Rocks on my fingers like a nigga wifed me Got another shorty? She ain't nothin' like me, yeah  'Bout to catch another fade (yeah) The apple bottom make 'em wanna bite (yeah) I just wanna have a good night ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"RAYE, 070 Shake",Escapism.,"Sleazin' and teasin', I'm sittin' on him All of my diamonds are drippin' on him I met him at the bar, it was 12 or somethin' I ordered two more wines, 'cause tonight, I want him  A little context if you care to listen I find myself in a shit position The man that I love sat me down last night And he told me that it's over, dumb decision And I don't wanna feel how my heart is rippin' In fact, I don't wanna feel, so I stick to sippin' And I'm out on the town with a simple mission In my little black dress, and this shit is sittin'  Just a heart broke bitch, high heels, six inch In the back of the nightclub, sippin' champagne I don't trust any of these bitches I'm with In the back of the taxi, sniffin' cocaine Drunk calls, drunk texts, drunk tears, drunk sex I was lookin' for a man who was on the same page Now it's back to the intro, back to the bar To the Bentley, to the hotel, to my old ways  'Cause I don't wanna feel how I did last night I don't wanna feel how I did last night Doctor, doctor, anything, please Doctor, doctor, have mercy on me, take this pain away You're asking me my symptoms, doctor, I don't wanna feel  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","Pa tipos como tú-ú-ú-ú-ú Oh-oh (oh-oh) Pa tipos como tú-ú-ú-ú-ú  Perdón, ya cogí otro avión Aquí no vuelvo, no quiero otra decepción Tanto que te la' das de campeón Y, cuando te necesitaba, diste tu peor versión  Sorry, baby, hace rato Que yo debí botar ese gato Una loba como yo no está pa novatos Una loba como yo no está  Pa tipos como tú-ú-ú-ú-ú Pa tipos como tú-ú-ú-ú-ú A ti te quedé grande, por eso estás Con una igualita que tú-ú-ú-ú-ú Oh-oh, oh-oh  Esto es pa que te mortifique', mastique', trague', trague', mastique' Yo contigo ya no regreso, ni que me llore', ni me supliques Entendí que no es culpa mía que te critiquen Yo solo hago música, perdón que te sal-pique  Me dejaste de vecina a la suegra ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Fuerza Regida, Grupo Frontera",Bebe Dame,"Fierro, ánimo De las cumbias originales Con mis compas, Grupo Frontera Y Fuerza Regida, compadre ¡Fierro, pues, márquele' compa Carlos! ¡Dice! (ánimo, ánimo)  Tengo tiempo pensando en los dos Si podemos arreglar la situación  Lo nuestro es una guerra en el amor Defiendo lo que me pide el corazón  Quiero comerte yo todos los días Me enamorabas con lo que decías Tenerte de nuevo es mi fantasía  Bebé, lo que te pido, ven, dame Lo que te exijo, no quisiera que Pase otro día y no te vea al amanecer  Bebé, lo que te pido, ven, dame ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
NewJeans,OMG,"이 노래는, it's about you, baby Only you You, you, you, you, you, you, you  내가 힘들 때 울 것 같을 때 기운도 이젠 나지 않을 때 (It's you) 날 걱정하네, (it's you) 날 웃게하네 말 안 해도 돼, boy, what do you say?  (They keep on asking me, ""who is he?"") 멀리든 언제든지 달려와 (They keep on asking me, ""who is he?"") 바쁜 척도 없이 넌 나타나 (They keep on asking me, ""who is he?"") ""이게 말이 되니?"" 난 물어봐 (They keep on asking me, ""who is he?"") 너는 말야, he's the one that's living in my system, baby  Oh my, oh my God! 예상했어 나 I was really hoping that he will come through Oh my, oh my God! 단 너뿐이야 Asking all the time about what I should do  No, I can never let him go, 너만 생각나 24 난 행운아야 정말로, I know, I know ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
The Kid LAROI,Love Again,"Can we go back to how it was Before my pride got in-between us Go ahead and hit me where it hurts Because at least then I'll feel something  Screamin' in my face Kicked me out your place I got nowhere to go  Can we find love again? Is this time the end? Tell me, how many more tears will drop? 'Til you hit me with, can we talk? And try love again ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Linkin Park,Lost,Just a scar somewhere down inside of me Something I can not repair Even though it will always be I pretend it isn't there (this is how I feel) I'm trapped in yesterday (just a memory) Where the pain is all I know (this is all I know)  And I'll never break away (can't break free) 'Cause when I'm alone  I'm lost in these memories Living behind my own illusion ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Bailey Zimmerman,Rock and A Hard Place,"We been swinging and missing It ain't broke yet, but damn, it needs fixing Been a while since your kiss felt like kissing It's just different  We've been talking 'bout forever since we been together Something 'bout a ring makes you think we're better off with all this But we're caught up in between  A rock and a hard place, red wine and mistakes Tears rolling down your face when I walked out that door That's when I lost it, a midnight in Austin ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Rihanna, Calvin Harris",We Found Love,Yellow diamonds in the light Now we're standing side by side As your shadow crosses mine What it takes to come alive  It's the way I'm feeling I just can't deny But I've gotta let it go  We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Morgan Wallen,You Proof,"Hey, I've been throwin' down the whiskey I oughta get my money back Someone said it drowns a memory Ah, but it ain't doing jack Yeah, I've been sippin', I've been buzzin' Shootin' doubles like it's nothing Aw, but nothin' makes you go away  I need something you-proof, something stronger than I'm used to Yeah, I've been pullin' 90 to a 100 Feel like nothing's gonna cut it, that's the hard truth Yeah, I need something you-proof, aw, I need something you-proof  Poured 'em up 'til they shut 'em down, yeah ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Love On The Brain,"And you got me like oh What you want from me? (What you want from me?) And tried to buy your pretty heart But the price's too high  Baby you got me like oh You love when I fall apart (Fall apart) So you can put me together And throw me against the wall  Baby you got me like ah, woo, ah  Don't you stop loving me (Loving me) Don't quit loving me (Loving me) Just start loving me (Loving me)  Oh, and babe I'm fist fighting with fire Just to get close to you Can we burn something babe? And I'll run for miles just to get a taste ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),"Just awaken shaken once again, so you know it's on (Just awaken shaken once again, ho, you know it's on) Just awaken shaken once again, so you know it's on (Just awaken shaken once again, ho, you know it's on) Yeah, life Life is only thing we need They need me to go, but I don't wanna leave Rest in peace to Lil Keed  Fuck a pigeonhole, I'm a night owl, this a different mode I might have to make her paint a 6 on her pinky toe Heard you with a shooting guard, just let a nigga know I would have you courtside, not the middle row All good, love, in a minute, though I can't stress about no bitch 'cause I'm a timid soul Plus I'm cookin' up ambition on a kitchen stove Pot start to bubble, see the suds, that shit good to go  Hoes say I'm suave, but I can't get RICO'd Bro think he John Wayne, I bought him yellow stones Love the way they hang, babe, fuck the silicone Everybody fake now, you could crack the code Bust down everything, set in rose gold Dread talkin' to you niggas like I'm J. Cole I can tell her head good before I even know Bitch, don't tell me that you model if you ain't been in Vogue ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"David Guetta, Bebe Rexha",I'm Good (Blue),"I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good? Yeah, I'm feelin' alright  'Cause I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good? Yeah, I'm feelin' alright  Don't you know I'm good? Yeah, I'm feelin' alright  You know I'm down for whatever tonight ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Taylor Swift,Lavender Haze,"Meet me at midnight  Staring at the ceiling with you Oh, you don't ever say too much And you don't really read into My melancholia  I've been under scrutiny (yeah, oh, yeah) You handle it beautifully (yeah, oh, yeah) All this shit is new to me (yeah, oh, yeah)  I feel the lavender haze creeping up on me Surreal, I'm damned if I do give a damn what people say No deal, the 1950s shit they want from me I just wanna stay in that lavender haze  All they keep asking me (all they keep asking me) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,Wasted On You,"I don't always wake up in the mornin' Pour myself a strong one Aw, but when I get lonely I do Your memory gets to burnin' Lean back on the bourbon Sure as hell can't keep leanin' on you  Looks like I'm learnin' the hard way again It's all my fault, yeah, I dropped the ball You're gone, and I'm gone three sheets to the wind Thinkin' 'bout all  I've wasted on you All of this time and all of this money All of these sorrys I don't owe you, honey All of these miles on this Chevy and prayers in a pew ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Tory Lanez,The Color Violet,"I took my drugs and took my lovin' when I left out the spot I left the party with a barbie marking X on the dot (uh) She calls my phone up, but I told her, ""I'm a loner"" (uh) But she likes my watch and my droptop and my persona (uh)  We hit the highway, 1-5-5, with my whole foot on the dash She's in my ear, she's got no fear, she could care less if we crash But on my radar, I've got some nerve to play hard I've waited for my chance, but playboys we don't dance, dance, dance  I gave my heart Speedin' car goin' 90 in the rain She took my heart, filled it with nothin' but pain This beat in my dance is not for romance ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Shirt,"Kiss me, dangerous Been so lost without you all around me Get anxious Lead me, don't look back, it's all about you  In the dark right now Feeling lost, but I like it Comfort in my sins, and all about me All I got right now Feel the taste of resentment Simmer in my skin, it's all about  Blood stain on my shirt, new bitch on my nerves Old nigga got curved, going back on my word Damn, bitch, you so thirsty Still don't know my worth, still stressing perfection Let you all in my mental, got me looking too desperate Damn, you ain't deserve  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
The Neighbourhood,Sweater Weather,"And all I am is a man I want the world in my hands I hate the beach but I stand In California with my toes in the sand Use the sleeves of my sweater Let's have an adventure Head in the clouds but my gravity's centered Touch my neck and I'll touch yours You in those little high-waisted shorts, oh  She knows what I think about And what I think about One love, two mouths One love, one house No shirt, no blouse Just us, you find out Nothing that I wouldn't wanna tell you about, no  'Cause it's too cold For you here and now So let me hold Both your hands in the holes of my sweater  And if I may just take your breath away I don't mind if there's not much to say ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Needed Me,"Mustard on the beat ho!  I was good on my own, that's the way it was, that's the way it was You was good on the low for a faded fuck, on some faded love Shit, what the fuck you complaining for? Feeling jaded huh? Used to trip off that shit I was kickin' to you Had some fun on the run though I give it to you  But baby, don't get it twisted You was just another nigga on the hit list Tryna fix your inner issues with a bad bitch Didn't they tell you that I was a savage Fuck your white horse and a carriage Bet you never could imagine ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Bad Bunny,Tití Me Preguntó,"Ey, Tití me preguntó si tengo mucha' novia' Mucha' novia' Hoy tengo a una, mañana otra, ey Pero no hay boda  Tití me preguntó si tengo mucha' novia' Mucha' novia' Hoy tengo a una, mañana otra  Me las vo'a llevar a toa', pa un VIP, un VIP Ey, saluden a Tití Vamo' a tirarno' un selfi, say ""cheese"", ey Que sonrían las que ya les metí  En un VIP, un VIP, ey, saluden a Tití Vamo' a tirarno' un selfi, say ""cheese"" Que sonrían las que ya se olvidaron de mí  Me gustan mucho las Gabriela', las Patricia' Las Nicole', las Sofía' Mi primera novia en kínder, María Y mi primer amor se llamaba Thalía  Tengo una colombiana que me escribe to' los día' Y una mexicana que ni yo sabía Otra en San Antonio que me quiere todavía Y las de PR que toítas son mía'  Una dominicana que es uva bombón Uva, uva bombón La de Barcelona que vino en avión Y dice que mi bicho está cabrón  Yo dejo que jueguen con mi corazón Quisiera mudarme con toas pa una mansión ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
OneRepublic,I Ain't Worried,"I don't know what you've been told But time is running out, no need to take it slow I'm stepping to you toe-to-toe I should be scared, honey, maybe so  But I ain't worried 'bout it right now (right now) Keeping dreams alive (hey!), 1999, heroes I ain't worried 'bout it right now (right now) Swimmin' in the floods (hey!), dancing on the clouds below I ain't worried 'bout it  I ain't worried 'bout it Hey!  I don't know what you've been told But time is running out, so spend it like it's gold I'm living like I'm nine-zeros ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Steve Lacy,Dark Red,"Something bad is 'bout to happen to me I don't know it, but I feel it coming Might be so sad, might leave my nose running I just hope she don't wanna leave me  Don't you give me up, please don't give up Honey, I belong with you, and only you, baby Only you, my girl, only you, babe (you) Only you, darling, only you, babe (you) Only you, my girl, only you, babe (you) Only you, darling, only you  Something bad is 'bout to happen to me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Zach Bryan, Maggie Rogers",Dawns (feat. Maggie Rogers),"Wake me up when the season's gone 'Cause I've wasted all my dawns on you So what do I do? Oh, what I do?  I get fucked up just 'cause I'm scared Love's just another drug I have grown a victim to So what do I do? Oh, what do I do?  All is fair in love and war So what the hell are we even fightin' for? I'm on your front porch beggin' for my dawns back Give my goddamn records and my clothes back 'Cause I'm through Oh, how I'm through  And by the time she wakes, I'll be halfway to my mama's home It just dawned on me, life is as fleeting as the passin' dawn And it was my mistake 'cause she never said a thing about Jesus ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Bitch Better Have My Money,"Yayo, yayo Moo-la-lah Yayo  Bitch better have my money! Y'all should know me well enough Bitch better have my money! Please don't call me on my bluff Pay me what you owe me Ballin' bigger than LeBron Bitch, give me your money Who y'all think y'all frontin' on? Like brrap, brrap, brrap  Louis 13 and it's all on me, nigga you just Bought a shot Kamikaze if you think that you gon' knock me Off the top Shit, your wife in the backseat of my brand New foreign car Don't act like you forgot, I call the shots Shots, shots Like blah, brrap, brrap Pay me what you owe me, don't act like you Forgot ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Natanael Cano, Peso Pluma, Gabito Ballesteros",AMG,"De todo ya pasé, claro que le batallé Lo saben dos o tres, no soy el mismo que era ayer Mercedes AMG, Clase G-63 Lo que un día soñé, todo ya me lo compré  Muy bueno para las cuentas, todo apunto en la libreta Ahí traigo la lista negra pa'l que se pase de verga Pura morrita bien buena, montada en mi camioneta Los radios suenan y suenan, pero yo siempre ando alerta  ¡Ea! ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,I Wrote The Book,"When it comes to Hitchin' the boat up Backin' down the ramp In my old truck  To find a bunch of logs To catch a bunch of hogs Yeah, I wrote the book Yeah, I wrote the book  If you wanna learn To throw a curve right To catch a clean up Lookin' on a third strike  Talk a little smack While he's walkin' back Yeah, I wrote the book  But there's one that lays by the lamp on the nightstand One that says don't cuss and don't fight ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
