artist,song,lyrics,bert_nega,bert_posi,bert_score,nltk_neg,nltk_neu,nltk_pos,nltk_score
JVKE,golden hour,"It was just two lovers, sittin' in the car, listening to Blonde Fallin' for each other, pink and orange skies, feelin' super childish No Donald Glover, missed call from my mother Like, ""Where you at tonight?"" Got no alibi  I was all alone with the love of my life She's got glitter for skin, my radiant beam in the night I don't need no light to see you  Shine ",9,4,-0.22935931499187762,2,10,1,0.12276153846153845
Steve Lacy,Bad Habit,"(I wish I knew you) wanted me I wish I knew, I wish I knew you wanted me I wish I knew, I wish I knew you wanted me  What you, ooh, uh, what you do? Made a move, coulda made a move If I knew I'd be with you Is it too late to pursue?  I bite my tongue, it's a bad habit Kinda mad that I didn't take a stab at it Thought you were too good for me, my dear Never gave me time of day, my dear It's okay, things happen for Reasons that I think are sure, yeah  I wish I knew, I wish I knew you wanted me I wish I knew (oh), I wish I knew you wanted me ",15,17,-0.001964358612895012,1,21,10,0.15392812500000003
The Kid LAROI,Love Again,"Can we go back to how it was Before my pride got in-between us Go ahead and hit me where it hurts Because at least then I'll feel something  Screamin' in my face Kicked me out your place I got nowhere to go  Can we find love again? Is this time the end? Tell me, how many more tears will drop? 'Til you hit me with, can we talk? And try love again ",8,5,-0.15096068382263184,0,11,2,0.045092307692307695
d4vd,Romantic Homicide,"I'm scared  It feels like you don't care  Enlighten me, my dear  Why am I still here?  I don't mean to be complacent with the decisions you made ",4,2,-0.22960278391838074,1,4,1,0.026499999999999996
"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),"Mummy don't know daddy's getting hot At the body shop, doing something unholy  He lucky, lucky, yeah (ooh) He lucky, lucky, yeah (ye-yeah) He lucky, lucky, yeah He lucky, lucky, yeah  A lucky, lucky girl She got married to a boy like you She'd kick you out if she ever, ever knew 'Bout all the - you tell me that you do  Dirty, dirty boy You know everyone is talking on the scene ",6,6,-0.033634896079699196,1,6,5,0.2879083333333333
Zach Bryan,Something in the Orange,"It'll be fine by dusk that I'm telling you, baby These things eat at your bones and drive your young mind crazy But when you place your head between my collar and jaw I don't know much, but there's no weight at all  And I'm damned if I do, and I'm damned if I don't 'Cause if I say I miss you, I know that you won't But I miss you in the mornings when I see the sun Something in the orange tells me we're not done  To you, I'm just a man To me, you're all I am Where the hell am I supposed to go? ",16,8,-0.20070302983125052,4,20,0,-0.09624166666666667
"Zach Bryan, Maggie Rogers",Dawns (feat. Maggie Rogers),"Wake me up when the season's gone 'Cause I've wasted all my dawns on you So what do I do? Oh, what I do?  I get fucked up just 'cause I'm scared Love's just another drug I have grown a victim to So what do I do? Oh, what do I do?  All is fair in love and war So what the hell are we even fightin' for? I'm on your front porch beggin' for my dawns back Give my goddamn records and my clothes back 'Cause I'm through Oh, how I'm through  And by the time she wakes, I'll be halfway to my mama's home It just dawned on me, life is as fleeting as the passin' dawn And it was my mistake 'cause she never said a thing about Jesus ",20,8,-0.2624862108911787,2,25,1,-0.10744285714285715
Harry Styles,As It Was,"Come on, Harry, we wanna say ""good night"" to you!  Holding me back Gravity's holding me back I want you to hold out the palm of your hand Why don't we leave it at that?  Nothing to say When everything gets in the way Seems you cannot be replaced And I'm the one who will stay Oh-oh-oh  In this world It's just us You know it's not the same as it was  In this world It's just us You know it's not the same as it was ",16,2,-0.4347105291154649,0,18,0,0.059616666666666665
SZA,Low,"Tell 'em to shoot I'm out the loop, I'm outta range Oh-yeah, I stay out the way-ay-ay!  Got another side of me, I like to get it poppin' But these bitches in my business got me outchea choosin' violence If you see me out in public, you don't know me, keep it silent In the bedroom, I be screamin', but outside, I keep it quiet  Keep it on the lowski, I'm the lowest of the lowest Wanna see if you can keep it like nobody knows shit  I need you to get the fuck out of my space (yeah) Replacement's on the way, please don't play That pussy's feelin' like a great escape (oh, oh) Don't need no trick, old dogs don't change  I'm fuckin', I ain't makin' love no more (pussy) You got a new bitch, what the fuck you cryin' for? I'm movin' selfish, callin' all my favorite hoes  ",18,5,-0.3522779915643775,2,20,1,-0.10461739130434783
d4vd,Here With Me,"Watch the sunrise along the coast As we're both getting old I can't describe what I'm feeling And all I know is we're going home So please don't let me go, oh Don't let me go, oh-oh-oh  And if it's right I don't care how long it takes As long as I'm with you ",8,4,-0.21753031512101492,0,11,1,0.010074999999999995
SZA,Snooze,"I'll touch that fire for you I do that three-four times again, I testify for you I told that lie, I'd kill that bitch I do what all of them around you scared to do, I'm not Long as you juggin' out here for me, I got it Mobbing, scheming, looting, hide your bodies Long as you dreaming 'bout me, ain't no problem I don't got nobody, just with you right now Tell the truth, I look better under you  I can't lose when I'm with you How can I snooze and miss the moment? You just too important Nobody do body like you do  I can't lose when I'm with you I can't just snooze and miss the moment You just too important Nobody do body like you do, you do  In the droptop ride with you, I feel like Scarface (Scarface) Like the white bitch with the bob, I'll be your main one (main one) ",21,10,-0.21029848437155446,1,26,4,0.029274193548387097
J. Cole,No Role Modelz,"First things first: Rest In Peace Uncle Phil, for real You the only father that I ever knew I get my bitch pregnant, I'mma be a better you Prophecies that I made way back in the Ville, fulfilled Listen even back when we was broke my team ill Martin Luther King would have been on Dreamville Talk to a nigga",12,7,-0.1758147540845369,1,16,2,0.007236842105263161
Morgan Wallen,Last Night,"Last night we let the liquor talk I can't remember everything we said but we said it all You told me that you wish I was somebody you never met But baby, baby somethings tellin' me this ain't over yet No way it was our last night  I kiss your lips Make you grip the sheets with your fingertips Last bottle of Jack we split a fifth Just talk about life goin' sip for sip You, you know you love to fight And I say shit I don't mean But I'm still gon' wake up wantin' you and me  I know that last night we let the liquor talk ",6,12,0.17499417066574097,1,16,1,0.019544444444444444
"RAYE, 070 Shake",Escapism.,"Sleazin' and teasin', I'm sittin' on him All of my diamonds are drippin' on him I met him at the bar, it was 12 or somethin' I ordered two more wines, 'cause tonight, I want him  A little context if you care to listen I find myself in a shit position The man that I love sat me down last night And he told me that it's over, dumb decision And I don't wanna feel how my heart is rippin' In fact, I don't wanna feel, so I stick to sippin' And I'm out on the town with a simple mission In my little black dress, and this shit is sittin'  Just a heart broke bitch, high heels, six inch In the back of the nightclub, sippin' champagne I don't trust any of these bitches I'm with In the back of the taxi, sniffin' cocaine Drunk calls, drunk texts, drunk tears, drunk sex I was lookin' for a man who was on the same page Now it's back to the intro, back to the bar To the Bentley, to the hotel, to my old ways  'Cause I don't wanna feel how I did last night I don't wanna feel how I did last night Doctor, doctor, anything, please Doctor, doctor, have mercy on me, take this pain away You're asking me my symptoms, doctor, I don't wanna feel  ",24,14,-0.16308334626649557,3,34,1,-0.06874736842105263
"Fuerza Regida, Grupo Frontera",Bebe Dame,"Fierro, ánimo De las cumbias originales Con mis compas, Grupo Frontera Y Fuerza Regida, compadre ¡Fierro, pues, márquele' compa Carlos! ¡Dice! (ánimo, ánimo)  Tengo tiempo pensando en los dos Si podemos arreglar la situación  Lo nuestro es una guerra en el amor Defiendo lo que me pide el corazón  Quiero comerte yo todos los días Me enamorabas con lo que decías Tenerte de nuevo es mi fantasía  Bebé, lo que te pido, ven, dame Lo que te exijo, no quisiera que Pase otro día y no te vea al amanecer  Bebé, lo que te pido, ven, dame ",15,7,-0.2465772032737732,0,21,1,0.0009272727272727311
Tory Lanez,The Color Violet,"I took my drugs and took my lovin' when I left out the spot I left the party with a barbie marking X on the dot (uh) She calls my phone up, but I told her, ""I'm a loner"" (uh) But she likes my watch and my droptop and my persona (uh)  We hit the highway, 1-5-5, with my whole foot on the dash She's in my ear, she's got no fear, she could care less if we crash But on my radar, I've got some nerve to play hard I've waited for my chance, but playboys we don't dance, dance, dance  I gave my heart Speedin' car goin' 90 in the rain She took my heart, filled it with nothin' but pain This beat in my dance is not for romance ",12,5,-0.23704070904675653,1,16,0,-0.0376
Taylor Swift,Lavender Haze,"Meet me at midnight  Staring at the ceiling with you Oh, you don't ever say too much And you don't really read into My melancholia  I've been under scrutiny (yeah, oh, yeah) You handle it beautifully (yeah, oh, yeah) All this shit is new to me (yeah, oh, yeah)  I feel the lavender haze creeping up on me Surreal, I'm damned if I do give a damn what people say No deal, the 1950s shit they want from me I just wanna stay in that lavender haze  All they keep asking me (all they keep asking me) ",8,7,-0.07631391684214274,2,13,0,-0.10451333333333332
"David Guetta, Bebe Rexha",I'm Good (Blue),"I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good? Yeah, I'm feelin' alright  'Cause I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good? Yeah, I'm feelin' alright  Don't you know I'm good? Yeah, I'm feelin' alright  You know I'm down for whatever tonight ",25,2,-0.5057220083695871,0,14,13,0.22158518518518522
SZA,Nobody Gets Me,"Took a long vacation, no makeup, just Jay-Z You were balls deep, now we beefin', had me butt-naked at the MGM So wasted screamin', ""Fuck that,"" love me now, but I'm anythin' Hurry now, baby, stick it in 'fore the memories get to kickin' in  It's too late, I don't wanna lose what's left of you  How am I supposed to tell ya? I don't wanna see you with anyone but me Nobody gets me like you How am I supposed to let you go? Only like myself when I'm with you Nobody gets me, you do (do)  You do ",14,9,-0.13899894641793292,1,18,4,0.012347826086956526
Bailey Zimmerman,Rock and A Hard Place,"We been swinging and missing It ain't broke yet, but damn, it needs fixing Been a while since your kiss felt like kissing It's just different  We've been talking 'bout forever since we been together Something 'bout a ring makes you think we're better off with all this But we're caught up in between  A rock and a hard place, red wine and mistakes Tears rolling down your face when I walked out that door That's when I lost it, a midnight in Austin ",10,3,-0.30507609477409947,0,12,1,-0.03366923076923078
NewJeans,OMG,"이 노래는, it's about you, baby Only you You, you, you, you, you, you, you  내가 힘들 때 울 것 같을 때 기운도 이젠 나지 않을 때 (It's you) 날 걱정하네, (it's you) 날 웃게하네 말 안 해도 돼, boy, what do you say?  (They keep on asking me, ""who is he?"") 멀리든 언제든지 달려와 (They keep on asking me, ""who is he?"") 바쁜 척도 없이 넌 나타나 (They keep on asking me, ""who is he?"") ""이게 말이 되니?"" 난 물어봐 (They keep on asking me, ""who is he?"") 너는 말야, he's the one that's living in my system, baby  Oh my, oh my God! 예상했어 나 I was really hoping that he will come through Oh my, oh my God! 단 너뿐이야 Asking all the time about what I should do  No, I can never let him go, 너만 생각나 24 난 행운아야 정말로, I know, I know ",15,3,-0.44351544313960606,1,15,2,0.04754444444444444
"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),"Just awaken shaken once again, so you know it's on (Just awaken shaken once again, ho, you know it's on) Just awaken shaken once again, so you know it's on (Just awaken shaken once again, ho, you know it's on) Yeah, life Life is only thing we need They need me to go, but I don't wanna leave Rest in peace to Lil Keed  Fuck a pigeonhole, I'm a night owl, this a different mode I might have to make her paint a 6 on her pinky toe Heard you with a shooting guard, just let a nigga know I would have you courtside, not the middle row All good, love, in a minute, though I can't stress about no bitch 'cause I'm a timid soul Plus I'm cookin' up ambition on a kitchen stove Pot start to bubble, see the suds, that shit good to go  Hoes say I'm suave, but I can't get RICO'd Bro think he John Wayne, I bought him yellow stones Love the way they hang, babe, fuck the silicone Everybody fake now, you could crack the code Bust down everything, set in rose gold Dread talkin' to you niggas like I'm J. Cole I can tell her head good before I even know Bitch, don't tell me that you model if you ain't been in Vogue ",32,12,-0.26871744069186126,2,34,8,-0.008838636363636364
The Neighbourhood,Sweater Weather,"And all I am is a man I want the world in my hands I hate the beach but I stand In California with my toes in the sand Use the sleeves of my sweater Let's have an adventure Head in the clouds but my gravity's centered Touch my neck and I'll touch yours You in those little high-waisted shorts, oh  She knows what I think about And what I think about One love, two mouths One love, one house No shirt, no blouse Just us, you find out Nothing that I wouldn't wanna tell you about, no  'Cause it's too cold For you here and now So let me hold Both your hands in the holes of my sweater  And if I may just take your breath away I don't mind if there's not much to say ",17,13,-0.09351791143417358,1,27,2,0.01724666666666667
SZA,Shirt,"Kiss me, dangerous Been so lost without you all around me Get anxious Lead me, don't look back, it's all about you  In the dark right now Feeling lost, but I like it Comfort in my sins, and all about me All I got right now Feel the taste of resentment Simmer in my skin, it's all about  Blood stain on my shirt, new bitch on my nerves Old nigga got curved, going back on my word Damn, bitch, you so thirsty Still don't know my worth, still stressing perfection Let you all in my mental, got me looking too desperate Damn, you ain't deserve  ",15,3,-0.3847910232014126,4,13,1,-0.16643333333333332
Hotel Ugly,Shut up My Moms Calling,"I just want to rewind, I haven't seen you in a long time You got me feeling so lonely Even when you come through, I can tell That it isn't you, so baby bring it in closely  Hate the way I love you but you so sweet I always find a way to say the wrong things I wish that we were laying in the same sheets But lately, you've been acting like you hardly know me  Baby come home, home (so baby won't you say somethin') ",9,3,-0.2885613391796748,1,10,1,0.02988333333333332
NewJeans,Ditto,"우-우, 우-우  우-우, 우-우  Stay in the middle, like you a little Don't want no riddle, 말해줘, say it back Oh, say it ditto, 아침은 너무 멀어 So say it ditto  훌쩍 커버렸어, 함께한 기억처럼 널 보는 내 마음은, 어느새 여름 지나 가을 기다렸지 all this time  Do you want somebody like I want somebody? 날 보고 웃었지만 do you think about me now, yeah? All the time, yeah? All the time?  I got no time to lose 내 길었던 하루, 난 보고 싶어 ",8,1,-0.507778525352478,0,8,1,0.1201888888888889
Kali Uchis,I Wish you Roses,"Ooh, never thought I would be without you I wish you love, I wish you well I wish you roses while you can still smell them With pretty flowers can come the bee sting (ooh, never thought I would be without you) But I wish you love, I wish you well I wish you roses while you can still smell them (ooh) I was a rose in the garden of weeds My petals are soft and silky as my sheets So do not be afraid to get pricked by the thorn While I'm here, I'm someone to honor When I'm gone, I'm someone to mourn  But if you and my heart should someday drift apart I'll make sure to give you these blessings ",18,4,-0.3718687323006717,0,17,5,0.2117318181818182
Morgan Wallen,You Proof,"Hey, I've been throwin' down the whiskey I oughta get my money back Someone said it drowns a memory Ah, but it ain't doing jack Yeah, I've been sippin', I've been buzzin' Shootin' doubles like it's nothing Aw, but nothin' makes you go away  I need something you-proof, something stronger than I'm used to Yeah, I've been pullin' 90 to a 100 Feel like nothing's gonna cut it, that's the hard truth Yeah, I need something you-proof, aw, I need something you-proof  Poured 'em up 'til they shut 'em down, yeah ",11,8,-0.10105060589940924,0,16,3,0.09217368421052632
Baby Tate,"Hey, Mickey!","(You don't know!) (You don't know the pain, man!) Hey, Mickey!  Oh, Mickey you're so fine! You're so fine, you blow my mind! Oh, Mickey you're so fine! You're so fine you, uh, uh! Oh, oh, Mickey you're so fine! You're so fine you blow my mind! Oh, Mickey you're so fine! You're so fine you blow my mind!  Met this boy named Mickey He had on some yellow Dickies I knew he was a hubby 'Cause his neck had hella hickies I said ""It's nice to meet you!"" Shook his hand and it was sticky I looked into his eyes and then ",22,4,-0.41385241884451646,0,26,0,0.16445
OneRepublic,I Ain't Worried,"I don't know what you've been told But time is running out, no need to take it slow I'm stepping to you toe-to-toe I should be scared, honey, maybe so  But I ain't worried 'bout it right now (right now) Keeping dreams alive (hey!), 1999, heroes I ain't worried 'bout it right now (right now) Swimmin' in the floods (hey!), dancing on the clouds below I ain't worried 'bout it  I ain't worried 'bout it Hey!  I don't know what you've been told But time is running out, so spend it like it's gold I'm living like I'm nine-zeros ",10,6,-0.15920894220471382,0,14,2,0.11205625000000001
Bad Bunny,Tití Me Preguntó,"Ey, Tití me preguntó si tengo mucha' novia' Mucha' novia' Hoy tengo a una, mañana otra, ey Pero no hay boda  Tití me preguntó si tengo mucha' novia' Mucha' novia' Hoy tengo a una, mañana otra  Me las vo'a llevar a toa', pa un VIP, un VIP Ey, saluden a Tití Vamo' a tirarno' un selfi, say ""cheese"", ey Que sonrían las que ya les metí  En un VIP, un VIP, ey, saluden a Tití Vamo' a tirarno' un selfi, say ""cheese"" Que sonrían las que ya se olvidaron de mí  Me gustan mucho las Gabriela', las Patricia' Las Nicole', las Sofía' Mi primera novia en kínder, María Y mi primer amor se llamaba Thalía  Tengo una colombiana que me escribe to' los día' Y una mexicana que ni yo sabía Otra en San Antonio que me quiere todavía Y las de PR que toítas son mía'  Una dominicana que es uva bombón Uva, uva bombón La de Barcelona que vino en avión Y dice que mi bicho está cabrón  Yo dejo que jueguen con mi corazón Quisiera mudarme con toas pa una mansión ",40,14,-0.30400151124706976,0,43,11,0.00585925925925926
Steve Lacy,Dark Red,"Something bad is 'bout to happen to me I don't know it, but I feel it coming Might be so sad, might leave my nose running I just hope she don't wanna leave me  Don't you give me up, please don't give up Honey, I belong with you, and only you, baby Only you, my girl, only you, babe (you) Only you, darling, only you, babe (you) Only you, my girl, only you, babe (you) Only you, darling, only you  Something bad is 'bout to happen to me ",13,0,-0.5871718434187082,0,13,0,0.015938461538461544
"Sam Smith, Calvin Harris, Jessie Reyez",I'm Not Here To Make Friends,"To all the days we were together To all the time we were apart Of each other's lives Heart to heart  And so I had a late arrival So, we never saw the start Of each other's lives Heart to heart  Heart to heart Heart to heart ",10,1,-0.4687903035770763,0,11,0,0.0
Mac DeMarco,Heart To Heart,"Think I only want one number in my phone I might change your contact to ""Don't leave me alone"" You said you like my eyes and you like to make 'em roll Treat me like a queen, now you got me feelin' thrown, oh  But I can't help myself when you get close to me Baby, my tongue goes numb, sounds like ""bleh-blah-bleh"" I don't want no one else, baby, I'm in too deep Here's a lil' song I wrote (song I wrote) It's about you and me  I'll be honest Lookin' at you got me thinkin' nonsense Cartwheels in my stomach when you walk in When you got your arms around me, ooh, it feels so good  I had to jump the octave I think I got an ex, but I forgot him And I can't find my chill, I must have lost it ",16,10,-0.13207246936284578,0,24,2,0.0723269230769231
Sabrina Carpenter,Nonsense,"I don't always wake up in the mornin' Pour myself a strong one Aw, but when I get lonely I do Your memory gets to burnin' Lean back on the bourbon Sure as hell can't keep leanin' on you  Looks like I'm learnin' the hard way again It's all my fault, yeah, I dropped the ball You're gone, and I'm gone three sheets to the wind Thinkin' 'bout all  I've wasted on you All of this time and all of this money All of these sorrys I don't owe you, honey All of these miles on this Chevy and prayers in a pew ",13,8,-0.1462712287902832,2,17,2,-0.034504761904761906
Morgan Wallen,Wasted On You,"Vibez (vibez)  Another banger  Baby, calm down, calm down Girl, this your body e put in my heart for lockdown, for lockdown, oh, lockdown Girl, you sweet like Fanta, ooh, Fanta, ooh If I tell you say, ""I love you"", you no dey form yanga, oh, oh, yanga, oh No, tell me no, no, no, no, woah-woah, woah-woah Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo, woah-woah-woah-woah-woah You got me like woah-woah-woah-woah-woah-woah-woah-woah-woah Shawty, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-woah-woah-woah-woah-woah, hmm  I see this fine girl, for my party she wear yellow Every other girl they dey do too much but this girl mellow Naim, I dey find situation, I go use take tell am hello Finally, I find way to talk to the girl but she no wan follow Who you come dey form for? Woah (mhmm) Why you no wan' conform? Woah (mhmm) Then I start to feel her bum-bum (mhmm) ",23,5,-0.4141003425632204,1,25,2,0.036875000000000005
"Rema, Selena Gomez",Calm Down (with Selena Gomez),"Spit in my face, my love, it won't phase me Spit in my face, my love, it won't change me Spit in my face, my love, I've gone crazy Spit in my face, my love, I've gone mad  Spit in my face, my love, it won't phase me Spit in my face, my love, it won't change me Spit in my face, my love, I've gone crazy Spit in my face, my love, I've gone mad  This is your fault And I don't need you anyway Stumble out the bathroom Stumble out your arms again  She doing crank in the room with a noose and a Backwood The bitch still call me crazy, lil' ho, how does that work? She got the guest house jumpin' up with smoke out the attic You're right, I know we love to argue, let's get at it  Wasted, sippin' on that liquor, you can taste it ",21,3,-0.45205361147721607,4,20,0,0.09241666666666665
ThxSoMch,SPIT IN MY FACE!,"(Will wait for you, for you) Early in the morning, late at night (I will wait for you) It don't even matter what time it is (I will wait for you) Presidential Rollie already on the way (higher, sayin', ""Aye, yi, yi, yi"") Whenever I find time, it's okay (ayy) (ATL Jacob, ATL Jacob)  You pray for my demons, girl, I got you Every time I sip on codeine, I get vulnerable I'm knowin' the sounds of the storm when it come She understand I can't take her everywhere a nigga going I been in the field like the children of the corn  I can hear your tears when they drop over the phone Get mad at yourself 'cause you can't leave me alone Gossip, bein' messy, that ain't what we doing (world was ending)  Travel around the world (would you cry, or would you try to get me?) Over the phone, dropping tears (tell me now, I want you be clear, yeah) I get more vulnerable when I do drugs (tell me now, I need you to be clear, yeah) When you drunk, you tell me exactly how you feel (I will wait for you, for you) ",26,12,-0.22305694222450256,1,30,7,-0.029694736842105263
"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),"I'm going back to 505 If it's a seven-hour flight or a 45-minute drive In my imagination, you're waiting lying on your side With your hands between your thighs  Stop and wait a sec' Oh, when you look at me like that, my darling, what did you expect? I'd probably still adore you with your hands around my neck Or I did last time I checked  ",5,5,-0.02177414298057556,0,10,0,0.04777
Arctic Monkeys,505,"Niggas want me to get ratchet Niggas want me to attack it Put the hood on, now they callin' me Cassius Raunchy like Bob Saget Greedy, I can't pass it  Eating everything, nigga, no fasting I don't care how much you knew me in the past tense I ain't no Julia Stiles, this ain't no last dance Way past it, way  Fuckin' on my ex 'cause he validate me Fuckin' up a check, I don't want no receipt Mind get possessed, let my spirit speak freely  Hey, my past can't escape me My pussy precedes me My, my, how the times change I'm still playin' the victim And you still playin' the pick-me ",15,9,-0.16023064156373343,2,20,2,-0.027070833333333332
