artist,song,lyrics
Harry Styles,As It Was,"Come on, Harry, we wanna say ""good night"" to you!  Holding me back Gravity's holding me back I want you to hold out the palm of your hand Why don't we leave it at that?  Nothing to say When everything gets in the way Seems you cannot be replaced And I'm the one who will stay Oh-oh-oh  In this world It's just us You know it's not the same as it was  In this world It's just us You know it's not the same as it was ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
JVKE,golden hour,"It was just two lovers, sittin' in the car, listening to Blonde Fallin' for each other, pink and orange skies, feelin' super childish No Donald Glover, missed call from my mother Like, ""Where you at tonight?"" Got no alibi  I was all alone with the love of my life She's got glitter for skin, my radiant beam in the night I don't need no light to see you  Shine ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Steve Lacy,Bad Habit,"(I wish I knew you) wanted me I wish I knew, I wish I knew you wanted me I wish I knew, I wish I knew you wanted me  What you, ooh, uh, what you do? Made a move, coulda made a move If I knew I'd be with you Is it too late to pursue?  I bite my tongue, it's a bad habit Kinda mad that I didn't take a stab at it Thought you were too good for me, my dear Never gave me time of day, my dear It's okay, things happen for Reasons that I think are sure, yeah  I wish I knew, I wish I knew you wanted me I wish I knew (oh), I wish I knew you wanted me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Miguel,Sure Thing,"Love you like a brother Treat you like a friend Respect you like a lover Oh-woah, oh-woah, oh-woah  You could bet that, never gotta sweat that You could bet that, never gotta sweat that You could bet that, never gotta sweat that You could bet that, never gotta sweat that  If you be the cash, I'll be the rubber band You be the match, I will be a fuse, boom Painter, baby, you could be the muse I'm the reporter, baby, you could be the news 'Cause you're the cigarette and I'm the smoker We raise the bet 'cause you're a joker Checked off, you are the chalk And I could be the blackboard You can be the talk and I can be the walk  Even when the sky comes falling Even when the sun don't shine I got faith in you and I So put your pretty little hand in mine Even when we're down to the wire, babe Even when it's do or die ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Zach Bryan,Something in the Orange,"It'll be fine by dusk that I'm telling you, baby These things eat at your bones and drive your young mind crazy But when you place your head between my collar and jaw I don't know much, but there's no weight at all  And I'm damned if I do, and I'm damned if I don't 'Cause if I say I miss you, I know that you won't But I miss you in the mornings when I see the sun Something in the orange tells me we're not done  To you, I'm just a man To me, you're all I am Where the hell am I supposed to go? ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Taylor Swift,Anti-Hero,"I have this thing where I get older, but just never wiser Midnights become my afternoons When my depression works the graveyard shift All of the people I've ghosted stand there in the room  I should not be left to my own devices They come with prices and vices I end up in crises Tale as old as time I wake up screaming from dreaming One day I'll watch as you're leaving 'Cause you got tired of my scheming For the last time  It's me Hi! I'm the problem, it's me At teatime Everybody agrees I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero  Sometimes I feel like everybody is a sexy baby ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Superstar Pride,PAINTING PICTURES,"Mm-mm-mm GlobalKnockz got the recipe Ayy, just thinking 'bout the way you make me feel It's so, it's so real  2 AM, the night still young You live by the gun, you gon' die by the gun Ain't no handouts for nobody When I ain't had shit, they ain't offer me nothin' When I'm quiet, I be thinking 'bout killings A lot of niggas bitch-made, stay in they feelings Saving these hoes, this shit here pitiful All these lil' bitty bitches my chillens, ooh And Mama, don't worry You raised a gangster, I'm a survivor It hurt me Not being able to give you what you want since I was a toddler Shout out to my pops for all the free game ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Snooze,"I'll touch that fire for you I do that three-four times again, I testify for you I told that lie, I'd kill that bitch I do what all of them around you scared to do, I'm not Long as you juggin' out here for me, I got it Mobbing, scheming, looting, hide your bodies Long as you dreaming 'bout me, ain't no problem I don't got nobody, just with you right now Tell the truth, I look better under you  I can't lose when I'm with you How can I snooze and miss the moment? You just too important Nobody do body like you do  I can't lose when I'm with you I can't just snooze and miss the moment You just too important Nobody do body like you do, you do  In the droptop ride with you, I feel like Scarface (Scarface) Like the white bitch with the bob, I'll be your main one (main one) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
d4vd,Romantic Homicide,"I'm scared  It feels like you don't care  Enlighten me, my dear  Why am I still here?  I don't mean to be complacent with the decisions you made ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
NF,HOPE,"Hope Yeah, I'm on my way, I'm coming Don't Don't lose faith in me I know you've been waiting I know you've been prayin' for my soul Hope Hope  30 years you've been draggin' your feet Tellin' me I'm the reason we're stagnant 30 years you've been claiming you're honest And promising progress, well, where's it at? I don't want you to feel like a failure I know this hurts But I gave you your chance to deliver Now it's my turn  Don't get me wrong Nate, you've had a great run But it's time to Give the people something different So without further ado, l'd Like to introduce my My album (my album), my album (my album), my album My album (my album), my album (my album), my album HOPE  What's my definition of success? (Of success) Listening to what your heart says (your heart says) Standing up for what you know is (is) Right, while everybody else is (is) Tucking their tail between their legs (okay) What's my definition of success? (Of success) Creating something no one else can (else can) Being brave enough to dream big (big) Grinding when you're told to just quit (quit) Giving more when you got nothin' left (left)  It's a person that'll take a chance on Something they were told could never happen It's a person that can see the bright side Through the dark times when there ain't one It's when someone who ain't never had nothin' ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
J. Cole,No Role Modelz,"First things first: Rest In Peace Uncle Phil, for real You the only father that I ever knew I get my bitch pregnant, I'mma be a better you Prophecies that I made way back in the Ville, fulfilled Listen even back when we was broke my team ill Martin Luther King would have been on Dreamville Talk to a nigga...  One time for my LA sisters One time for my LA hoes Lame niggas can't tell the difference One time for a nigga who know  Don't save her She don't wanna be saved Don't save her She don't wanna be saved Don't save her She don't wanna be saved Don't save her She don't wanna be saved  No role models and I'm here right now No role models to speak of Searchin' through my memory My memory, I couldn't find one Last night I was gettin' my feet rubbed By the baddest bitch; not Trina, but I swear to God This bitch'll make you call your girl up and tell her ""Hey, what's good?"" ""Sorry I'm never comin' home, I'mma stay for good"" Then hang the phone up, and proceed to lay the wood I came fast like 9-1-1 in white neighborhoods Ain't got no shame bout it She think I'm spoiled and I'm rich cause I can have any bitch I got defensive and said ""Nah, I was the same without it"" But then I thought back, back to a better me Before I was a B-list celebrity Before I started callin' bitches ""bitches"" so heavily Back when you could get a platinum plaque without no melody You wasn't sweatin' me  One time for my LA sisters ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),"Mummy don't know daddy's getting hot At the body shop, doing something unholy  He lucky, lucky, yeah (ooh) He lucky, lucky, yeah (ye-yeah) He lucky, lucky, yeah He lucky, lucky, yeah  A lucky, lucky girl She got married to a boy like you She'd kick you out if she ever, ever knew 'Bout all the - you tell me that you do  Dirty, dirty boy You know everyone is talking on the scene ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Coi Leray,Players,"Yeah, 'cause girls is players too, uh Yeah, yeah, 'cause girls is players too (keep it player, baby) 'Cause girls is players too Bitches gettin' money all around the world 'Cause girls is players too  What you know 'bout livin' on the top? Penthouse suites, lookin' down on the opps? Took him for a test drive, left him on the lot Time is money, so I spent it on a watch, hol' on Lil' titties showin' through the white tee You can see the thong bussin' out my tight jeans (okay) Rocks on my fingers like a nigga wifed me Got another shorty? She ain't nothin' like me, yeah  'Bout to catch another fade (yeah) The apple bottom make 'em wanna bite (yeah) I just wanna have a good night ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Low,"Tell 'em to shoot I'm out the loop, I'm outta range Oh-yeah, I stay out the way-ay-ay!  Got another side of me, I like to get it poppin' But these bitches in my business got me outchea choosin' violence If you see me out in public, you don't know me, keep it silent In the bedroom, I be screamin', but outside, I keep it quiet  Keep it on the lowski, I'm the lowest of the lowest Wanna see if you can keep it like nobody knows shit  I need you to get the fuck out of my space (yeah) Replacement's on the way, please don't play That pussy's feelin' like a great escape (oh, oh) Don't need no trick, old dogs don't change  I'm fuckin', I ain't makin' love no more (pussy) You got a new bitch, what the fuck you cryin' for? I'm movin' selfish, callin' all my favorite hoes  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Luke Combs,Love You Anyway,If your kiss turned me to stone I'd be a statue standing tall in Ancient Rome And if your touch shattered me like glass I'd be in pieces trying to make the breaking last  If it took one look to turn my days to night At least I'd have the stars that sparkle in your eyes  There's just some things that leave a man no choice Like a compass needle needing its true North Even if I knew the day we met you'd be the reason this heart breaks ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
"RAYE, 070 Shake",Escapism.,"Sleazin' and teasin', I'm sittin' on him All of my diamonds are drippin' on him I met him at the bar, it was 12 or somethin' I ordered two more wines, 'cause tonight, I want him  A little context if you care to listen I find myself in a shit position The man that I love sat me down last night And he told me that it's over, dumb decision And I don't wanna feel how my heart is rippin' In fact, I don't wanna feel, so I stick to sippin' And I'm out on the town with a simple mission In my little black dress, and this shit is sittin'  Just a heart broke bitch, high heels, six inch In the back of the nightclub, sippin' champagne I don't trust any of these bitches I'm with In the back of the taxi, sniffin' cocaine Drunk calls, drunk texts, drunk tears, drunk sex I was lookin' for a man who was on the same page Now it's back to the intro, back to the bar To the Bentley, to the hotel, to my old ways  'Cause I don't wanna feel how I did last night I don't wanna feel how I did last night Doctor, doctor, anything, please Doctor, doctor, have mercy on me, take this pain away You're asking me my symptoms, doctor, I don't wanna feel  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
d4vd,Here With Me,"Watch the sunrise along the coast As we're both getting old I can't describe what I'm feeling And all I know is we're going home So please don't let me go, oh Don't let me go, oh-oh-oh  And if it's right I don't care how long it takes As long as I'm with you ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","Pa tipos como tú-ú-ú-ú-ú Oh-oh (oh-oh) Pa tipos como tú-ú-ú-ú-ú  Perdón, ya cogí otro avión Aquí no vuelvo, no quiero otra decepción Tanto que te la' das de campeón Y, cuando te necesitaba, diste tu peor versión  Sorry, baby, hace rato Que yo debí botar ese gato Una loba como yo no está pa novatos Una loba como yo no está  Pa tipos como tú-ú-ú-ú-ú Pa tipos como tú-ú-ú-ú-ú A ti te quedé grande, por eso estás Con una igualita que tú-ú-ú-ú-ú Oh-oh, oh-oh  Esto es pa que te mortifique', mastique', trague', trague', mastique' Yo contigo ya no regreso, ni que me llore', ni me supliques Entendí que no es culpa mía que te critiquen Yo solo hago música, perdón que te sal-pique  Me dejaste de vecina a la suegra ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lizzy McAlpine,ceilings,"Ceilings, plaster Can't you just make it move faster? Lovely to be sitting here with you You're kinda cute, but it's Raining harder My shoes are now full of water Lovely to be rained on with you It's kinda cute, but it's  So short Then you're driving me home And I don't wanna leave ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Fuerza Regida, Grupo Frontera",Bebe Dame,"Fierro, ánimo De las cumbias originales Con mis compas, Grupo Frontera Y Fuerza Regida, compadre ¡Fierro, pues, márquele' compa Carlos! ¡Dice! (ánimo, ánimo)  Tengo tiempo pensando en los dos Si podemos arreglar la situación  Lo nuestro es una guerra en el amor Defiendo lo que me pide el corazón  Quiero comerte yo todos los días Me enamorabas con lo que decías Tenerte de nuevo es mi fantasía  Bebé, lo que te pido, ven, dame Lo que te exijo, no quisiera que Pase otro día y no te vea al amanecer  Bebé, lo que te pido, ven, dame ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Bailey Zimmerman,Rock and A Hard Place,"We been swinging and missing It ain't broke yet, but damn, it needs fixing Been a while since your kiss felt like kissing It's just different  We've been talking 'bout forever since we been together Something 'bout a ring makes you think we're better off with all this But we're caught up in between  A rock and a hard place, red wine and mistakes Tears rolling down your face when I walked out that door That's when I lost it, a midnight in Austin ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
NewJeans,OMG,"이 노래는, it's about you, baby Only you You, you, you, you, you, you, you  내가 힘들 때 울 것 같을 때 기운도 이젠 나지 않을 때 (It's you) 날 걱정하네, (it's you) 날 웃게하네 말 안 해도 돼, boy, what do you say?  (They keep on asking me, ""who is he?"") 멀리든 언제든지 달려와 (They keep on asking me, ""who is he?"") 바쁜 척도 없이 넌 나타나 (They keep on asking me, ""who is he?"") ""이게 말이 되니?"" 난 물어봐 (They keep on asking me, ""who is he?"") 너는 말야, he's the one that's living in my system, baby  Oh my, oh my God! 예상했어 나 I was really hoping that he will come through Oh my, oh my God! 단 너뿐이야 Asking all the time about what I should do  No, I can never let him go, 너만 생각나 24 난 행운아야 정말로, I know, I know ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,You Proof,"Hey, I've been throwin' down the whiskey I oughta get my money back Someone said it drowns a memory Ah, but it ain't doing jack Yeah, I've been sippin', I've been buzzin' Shootin' doubles like it's nothing Aw, but nothin' makes you go away  I need something you-proof, something stronger than I'm used to Yeah, I've been pullin' 90 to a 100 Feel like nothing's gonna cut it, that's the hard truth Yeah, I need something you-proof, aw, I need something you-proof  Poured 'em up 'til they shut 'em down, yeah ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),"Just awaken shaken once again, so you know it's on (Just awaken shaken once again, ho, you know it's on) Just awaken shaken once again, so you know it's on (Just awaken shaken once again, ho, you know it's on) Yeah, life Life is only thing we need They need me to go, but I don't wanna leave Rest in peace to Lil Keed  Fuck a pigeonhole, I'm a night owl, this a different mode I might have to make her paint a 6 on her pinky toe Heard you with a shooting guard, just let a nigga know I would have you courtside, not the middle row All good, love, in a minute, though I can't stress about no bitch 'cause I'm a timid soul Plus I'm cookin' up ambition on a kitchen stove Pot start to bubble, see the suds, that shit good to go  Hoes say I'm suave, but I can't get RICO'd Bro think he John Wayne, I bought him yellow stones Love the way they hang, babe, fuck the silicone Everybody fake now, you could crack the code Bust down everything, set in rose gold Dread talkin' to you niggas like I'm J. Cole I can tell her head good before I even know Bitch, don't tell me that you model if you ain't been in Vogue ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
The Neighbourhood,Sweater Weather,"And all I am is a man I want the world in my hands I hate the beach but I stand In California with my toes in the sand Use the sleeves of my sweater Let's have an adventure Head in the clouds but my gravity's centered Touch my neck and I'll touch yours You in those little high-waisted shorts, oh  She knows what I think about And what I think about One love, two mouths One love, one house No shirt, no blouse Just us, you find out Nothing that I wouldn't wanna tell you about, no  'Cause it's too cold For you here and now So let me hold Both your hands in the holes of my sweater  And if I may just take your breath away I don't mind if there's not much to say ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"David Guetta, Bebe Rexha",I'm Good (Blue),"I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good? Yeah, I'm feelin' alright  'Cause I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good? Yeah, I'm feelin' alright  Don't you know I'm good? Yeah, I'm feelin' alright  You know I'm down for whatever tonight ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,Wasted On You,"I don't always wake up in the mornin' Pour myself a strong one Aw, but when I get lonely I do Your memory gets to burnin' Lean back on the bourbon Sure as hell can't keep leanin' on you  Looks like I'm learnin' the hard way again It's all my fault, yeah, I dropped the ball You're gone, and I'm gone three sheets to the wind Thinkin' 'bout all  I've wasted on you All of this time and all of this money All of these sorrys I don't owe you, honey All of these miles on this Chevy and prayers in a pew ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Ice Spice,In Ha Mood,"(Where were you last week, when you stopped coming by?) (Stop playin' with 'em, RIOT)  Like, damn, she in ha mood (grah) Like, damn, she in ha mood (mood) Like, damn, she in ha mood (in ha mood) (She in ha mood, she in ha mood)  Like, damn, she in ha mood (she in ha mood) She lit, get money too (like) Like, damn, she in ha mood (She in ha mood, she in ha mood) (Damn)  In the mirror, I'm doin' my dance (like) And he packing I know by his pants (grah) He a rapper, but don't got a chance Stuck in my ways, so I'm loving my bands (damn) Like a million views in a day (like) It's so many ways to get paid (grah) I try dipping he beg me to stay ""Bae, I'm not staying I just wanna play"" (just wanna play)  In the party, he just wanna rump (rump) Big boobs and the butt stay plump (stay plump) She a baddie, she know she a ten (ten, baddie) She a baddie wit' her baddie friend (damn, friend) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Steve Lacy,Dark Red,"Something bad is 'bout to happen to me I don't know it, but I feel it coming Might be so sad, might leave my nose running I just hope she don't wanna leave me  Don't you give me up, please don't give up Honey, I belong with you, and only you, baby Only you, my girl, only you, babe (you) Only you, darling, only you, babe (you) Only you, my girl, only you, babe (you) Only you, darling, only you  Something bad is 'bout to happen to me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Shirt,"Kiss me, dangerous Been so lost without you all around me Get anxious Lead me, don't look back, it's all about you  In the dark right now Feeling lost, but I like it Comfort in my sins, and all about me All I got right now Feel the taste of resentment Simmer in my skin, it's all about  Blood stain on my shirt, new bitch on my nerves Old nigga got curved, going back on my word Damn, bitch, you so thirsty Still don't know my worth, still stressing perfection Let you all in my mental, got me looking too desperate Damn, you ain't deserve  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Tory Lanez,The Color Violet,"I took my drugs and took my lovin' when I left out the spot I left the party with a barbie marking X on the dot (uh) She calls my phone up, but I told her, ""I'm a loner"" (uh) But she likes my watch and my droptop and my persona (uh)  We hit the highway, 1-5-5, with my whole foot on the dash She's in my ear, she's got no fear, she could care less if we crash But on my radar, I've got some nerve to play hard I've waited for my chance, but playboys we don't dance, dance, dance  I gave my heart Speedin' car goin' 90 in the rain She took my heart, filled it with nothin' but pain This beat in my dance is not for romance ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Bad Bunny,Tití Me Preguntó,"Ey, Tití me preguntó si tengo mucha' novia' Mucha' novia' Hoy tengo a una, mañana otra, ey Pero no hay boda  Tití me preguntó si tengo mucha' novia' Mucha' novia' Hoy tengo a una, mañana otra  Me las vo'a llevar a toa', pa un VIP, un VIP Ey, saluden a Tití Vamo' a tirarno' un selfi, say ""cheese"", ey Que sonrían las que ya les metí  En un VIP, un VIP, ey, saluden a Tití Vamo' a tirarno' un selfi, say ""cheese"" Que sonrían las que ya se olvidaron de mí  Me gustan mucho las Gabriela', las Patricia' Las Nicole', las Sofía' Mi primera novia en kínder, María Y mi primer amor se llamaba Thalía  Tengo una colombiana que me escribe to' los día' Y una mexicana que ni yo sabía Otra en San Antonio que me quiere todavía Y las de PR que toítas son mía'  Una dominicana que es uva bombón Uva, uva bombón La de Barcelona que vino en avión Y dice que mi bicho está cabrón  Yo dejo que jueguen con mi corazón Quisiera mudarme con toas pa una mansión ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Taylor Swift,Lavender Haze,"Meet me at midnight  Staring at the ceiling with you Oh, you don't ever say too much And you don't really read into My melancholia  I've been under scrutiny (yeah, oh, yeah) You handle it beautifully (yeah, oh, yeah) All this shit is new to me (yeah, oh, yeah)  I feel the lavender haze creeping up on me Surreal, I'm damned if I do give a damn what people say No deal, the 1950s shit they want from me I just wanna stay in that lavender haze  All they keep asking me (all they keep asking me) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
OneRepublic,I Ain't Worried,"I don't know what you've been told But time is running out, no need to take it slow I'm stepping to you toe-to-toe I should be scared, honey, maybe so  But I ain't worried 'bout it right now (right now) Keeping dreams alive (hey!), 1999, heroes I ain't worried 'bout it right now (right now) Swimmin' in the floods (hey!), dancing on the clouds below I ain't worried 'bout it  I ain't worried 'bout it Hey!  I don't know what you've been told But time is running out, so spend it like it's gold I'm living like I'm nine-zeros ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Natanael Cano, Peso Pluma, Gabito Ballesteros",AMG,"De todo ya pasé, claro que le batallé Lo saben dos o tres, no soy el mismo que era ayer Mercedes AMG, Clase G-63 Lo que un día soñé, todo ya me lo compré  Muy bueno para las cuentas, todo apunto en la libreta Ahí traigo la lista negra pa'l que se pase de verga Pura morrita bien buena, montada en mi camioneta Los radios suenan y suenan, pero yo siempre ando alerta  ¡Ea! ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
The Kid LAROI,Love Again,"Can we go back to how it was Before my pride got in-between us Go ahead and hit me where it hurts Because at least then I'll feel something  Screamin' in my face Kicked me out your place I got nowhere to go  Can we find love again? Is this time the end? Tell me, how many more tears will drop? 'Til you hit me with, can we talk? And try love again ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
